"","Year","ST","MWh","Carbon","Carbon Intensity"
"1",1990,"AK",5599506,4208809,0.75
"2",1990,"AL",79652133,52936063,0.66
"3",1990,"AR",39099598,23425802,0.6
"4",1990,"AZ",62774297,33111213,0.53
"5",1990,"CA",165784909,52655643,0.32
"6",1990,"CO",32548127,31517085,0.97
"7",1990,"CT",35147247,12103268,0.34
"8",1990,"DC",361043,409724,1.13
"9",1990,"DE",7841500,8884879,1.13
"10",1990,"FL",131502553,91555237,0.7
"11",1990,"GA",102686240,67852693,0.66
"12",1990,"HI",9702752,8063505,0.83
"13",1990,"IA",30044506,29954105,1
"14",1990,"ID",9691475,489043,0.05
"15",1990,"IL",129392471,60761615,0.47
"16",1990,"IN",101417116,99078594,0.98
"17",1990,"KS",34184857,27517046,0.8
"18",1990,"KY",73807286,66691156,0.9
"19",1990,"LA",76465630,44982915,0.59
"20",1990,"MA",39811011,27815932,0.7
"21",1990,"MD",33162292,27349665,0.82
"22",1990,"ME",15946014,5204666,0.33
"23",1990,"MI",100059737,71755088,0.72
"24",1990,"MN",43070376,31917079,0.74
"25",1990,"MO",59352830,48705027,0.82
"26",1990,"MS",25201417,14776544,0.59
"27",1990,"MT",26029772,16129041,0.62
"28",1990,"NC",84925767,48999877,0.58
"29",1990,"ND",26993261,28488254,1.06
"30",1990,"NE",21633587,13557583,0.63
"31",1990,"NH",12405196,5086749,0.41
"32",1990,"NJ",39968834,13636812,0.34
"33",1990,"NM",28820204,28388430,0.99
"34",1990,"NV",20050685,16695190,0.83
"35",1990,"NY",135345692,69088255,0.51
"36",1990,"OH",127980527,110607341,0.86
"37",1990,"OK",47079131,36742054,0.78
"38",1990,"OR",50372236,2055155,0.04
"39",1990,"PA",175623311,109496801,0.62
"40",1990,"RI",1107316,598562,0.54
"41",1990,"SC",71363174,23663802,0.33
"42",1990,"SD",6427473,2760423,0.43
"43",1990,"TN",76187609,53320124,0.7
"44",1990,"TX",281559635,213056168,0.76
"45",1990,"UT",32563539,29225938,0.9
"46",1990,"VA",52564458,28796756,0.55
"47",1990,"VT",5164108,40869,0.01
"48",1990,"WA",102071533,8543576,0.08
"49",1990,"WI",47768857,37540049,0.79
"50",1990,"WV",79539544,72166576,0.91
"51",1990,"WY",39974965,41292161,1.03
"52",1991,"AK",5389828,4070941,0.76
"53",1991,"AL",88786612,57041206,0.64
"54",1991,"AR",40651244,23698346,0.58
"55",1991,"AZ",67202551,33394572,0.5
"56",1991,"CA",158947642,50078259,0.32
"57",1991,"CO",32321593,30806656,0.95
"58",1991,"CT",27036467,11759800,0.43
"59",1991,"DC",179814,232876,1.3
"60",1991,"DE",7838132,8180081,1.04
